,id,amount_ethereum,amount_dollars,transaction_date
319,8213,19Ξ,"($65,253)","May 05, 2021"
320,8213,22Ξ,"($69,824)","May 03, 2021"
321,8214,0.29Ξ,($46),"Apr 15, 2019"
322,8215,6.25Ξ,"($11,087)","Feb 12, 2021"
323,8215,5.30Ξ,"($8,440)","Feb 05, 2021"
324,8215,4.50Ξ,"($5,468)","Jan 07, 2021"
325,8215,0.10Ξ,($74),"Dec 29, 2017"
326,8216,0.65Ξ,($168),"Feb 20, 2020"
327,8216,0.69Ξ,($111),"Jan 16, 2020"
328,8219,140Ξ,"($150,275)","Jan 06, 2021"
329,8220,37.50Ξ,"($124,339)","May 03, 2021"
330,8220,32.50Ξ,"($47,760)","Feb 27, 2021"
331,8220,13Ξ,"($22,984)","Feb 09, 2021"
332,8221,42.50Ξ,"($78,654)","Mar 20, 2021"
333,8224,17.95Ξ,"($35,171)","Feb 21, 2021"
334,8224,0.25Ξ,($140),"Mar 21, 2018"
335,8224,0.15Ξ,($65),"Dec 10, 2017"
336,8226,23.45Ξ,"($47,244)","Jul 12, 2021"
337,8226,2.50Ξ,($865),"Sep 24, 2020"
338,8226,1.79Ξ,($673),"Sep 14, 2020"
339,8226,1.50Ξ,($310),"May 28, 2020"
340,8226,1.40Ξ,($291),"May 24, 2020"
341,8226,1.10Ξ,($218),"May 21, 2020"
342,8227,18.80Ξ,"($36,044)","Feb 20, 2021"
343,8227,8.88Ξ,"($16,126)","Feb 14, 2021"
344,8227,4Ξ,"($2,931)","Dec 31, 2020"
345,8229,0.49Ξ,($42),"Dec 13, 2018"
346,8230,0.39Ξ,($94),"Jul 07, 2017"
347,8231,0.05Ξ,($29),"Jun 01, 2018"
348,8233,8.50Ξ,"($15,561)","Feb 14, 2021"
349,8233,0.20Ξ,($57),"Jul 02, 2017"
350,8234,0.15Ξ,($33),"Oct 03, 2018"
351,8237,17Ξ,"($63,924)","May 13, 2021"
352,8237,22.50Ξ,"($59,533)","Apr 27, 2021"
353,8237,19.25Ξ,"($46,795)","Apr 21, 2021"
354,8237,0.60Ξ,($85),"Mar 16, 2019"
355,8237,0.30Ξ,($43),"Mar 16, 2019"
356,8237,0.05Ξ,($25),"Jun 12, 2018"
357,8238,2.90Ξ,"($1,086)","Sep 14, 2020"
358,8238,0.98Ξ,($370),"Aug 07, 2020"
359,8238,1.49Ξ,($296),"May 26, 2020"
360,8239,0.15Ξ,($68),"Dec 08, 2017"
361,8241,0.23Ξ,($107),"Nov 28, 2017"
362,8242,36.69Ξ,"($65,980)","Mar 21, 2021"
363,8242,33Ξ,"($59,422)","Mar 16, 2021"
364,8242,35Ξ,"($47,105)","Feb 28, 2021"
