,id,total_sold,avg_sold_price,max_sold_price,types,rarity,skin,traits,total_traits,marcador
8996,8996,2.0,1.975,2.15,Male,8936,Dark,"Cigarette,Earring,Knitted Cap",3,1
8998,8998,3.0,5.03,7.5,Male,3115,Light,"Clown Nose,Frown,Purple Hair",3,1
8999,8999,1.0,0.12,0.12,Female,1140,Light,"Blonde Short,Clown Eyes Green,Earring,Purple Lipstick",4,1
9000,9000,1.0,28.0,28.0,Female,1204,Dark,"Blonde Short,Cigarette,Hot Lipstick",3,1
9001,9001,3.0,5.79,10.88,Female,4206,Dark,"Bandana,Clown Nose,Nerd Glasses",3,1
9002,9002,1.0,21.0,21.0,Male,6823,Mid,"Classic Shades,Mohawk Dark,Normal Beard Black",3,1
9003,9003,1.0,0.43,0.43,Female,9245,Albino,"Black Lipstick,Cigarette,Mohawk Thin",3,1
9005,9005,3.0,2.7966666666666664,8.0,Male,2607,Mid,"Classic Shades,Clown Hair Green",2,1
9007,9007,1.0,20.0,20.0,Male,8399,Mid,"Clown Eyes Green,Mohawk Thin",2,1
9008,9008,2.0,8.325,16.0,Male,5212,Mid,"Frown,Goat,Mohawk Thin,Regular Shades",4,1
9009,9009,1.0,0.3,0.3,Male,1467,Albino,"Cigarette,Cowboy Hat,Nerd Glasses",3,1
9011,9011,1.0,0.76,0.76,Male,820,Dark,"Earring,Muttonchops,Small Shades,Top Hat",4,1
9012,9012,4.0,28.1,50.0,Male,3567,Dark,"Earring,Frumpy Hair,Medical Mask",3,1
9014,9014,2.0,24.25,27.0,Female,2752,Dark,"Black Lipstick,Cigarette,Green Eye Shadow,Straight Hair",4,1
9015,9015,2.0,19.265,27.54,Male,7837,Light,"Cap,Earring,Pipe",3,1
9016,9016,1.0,0.5,0.5,Male,4246,Albino,"Chinstrap,Horned Rim Glasses,Smile,Stringy Hair",4,1
9017,9017,1.0,24.0,24.0,Male,7428,Dark,"Do-rag,Shadow Beard,Small Shades",3,1
9022,9022,7.0,11.232857142857142,24.88,Male,5243,Light,"Frown,Frumpy Hair,Muttonchops",3,1
9023,9023,5.0,18.380000000000003,21.25,Female,5351,Light,"Headband,Purple Eye Shadow",2,1
9024,9024,1.0,0.15,0.15,Male,6671,Mid,"Classic Shades,Earring,Mohawk Thin,Mustache",4,1
9025,9025,5.0,5.888,23.0,Male,7723,Light,"Earring,Frumpy Hair,Muttonchops",3,1
9026,9026,1.0,20.0,20.0,Male,6105,Mid,"Bandana,Classic Shades,Earring,Front Beard",4,1
9027,9027,2.0,20.595,21.2,Female,9413,Mid,"Black Lipstick,Frumpy Hair,Nerd Glasses",3,1
9028,9028,5.0,32.79600000000001,96.0,Female,4477,Light,Pipe,1,1
9029,9029,1.0,24.5,24.5,Female,9280,Albino,"Mohawk,Purple Lipstick",2,1
9030,9030,3.0,2.2866666666666666,5.55,Female,9377,Dark,"Black Lipstick,Frumpy Hair,Regular Shades",3,1
9032,9032,2.0,0.475,0.48,Male,3270,Mid,"Earring,Gold Chain,Horned Rim Glasses,Knitted Cap,Mole",5,1
9033,9033,1.0,0.5,0.5,Male,9741,Albino,"Eye Patch,Stringy Hair",2,1
