,Type,From,To,Amount,Txn,punk_id
27607,Offered,,,"22.50Ξ ($37,887)","Mar 28, 2021",2652.0
27608,Offered,,,"24Ξ ($41,314)","Mar 28, 2021",2652.0
27609,Transfer,0x9c355c,0xe35d84,,"Feb 19, 2021",2652.0
27610,Sold,0x6611fe,0x9c355c,"8.10Ξ ($14,933)","Feb 14, 2021",2652.0
27611,Offered,,,"8.10Ξ ($14,880)","Feb 14, 2021",2652.0
27612,Claimed,,0x6611fe,,"Jun 23, 2017",2652.0
27613,Offered,,,"34Ξ ($83,897)","Apr 15, 2021",2653.0
27614,Sold,0x13816f,0x51ae02,"26Ξ ($55,634)","Apr 12, 2021",2653.0
27615,Offered,,,"26Ξ ($41,820)","Mar 03, 2021",2653.0
27616,Bid Withdrawn,0xc47aa3,,"25Ξ ($39,031)","Mar 02, 2021",2653.0
27617,Bid,0xc47aa3,,"25Ξ ($38,957)","Mar 02, 2021",2653.0
27618,Offered,,,"26.88Ξ ($40,125)","Feb 26, 2021",2653.0
27619,Sold,0x796c85,0x13816f,"23.90Ξ ($35,677)","Feb 26, 2021",2653.0
27620,Offered,,,"23.90Ξ ($35,052)","Feb 26, 2021",2653.0
27621,Offered,,,"27.90Ξ ($44,946)","Feb 25, 2021",2653.0
27622,Offered,,,"33.50Ξ ($54,892)","Feb 24, 2021",2653.0
27623,Offered,,,"38.50Ξ ($68,377)","Feb 23, 2021",2653.0
27624,Sold,0x6611fe,0x796c85,"16Ξ ($30,836)","Feb 19, 2021",2653.0
27625,Offered,,,"16Ξ ($30,764)","Feb 19, 2021",2653.0
27626,Claimed,,0x6611fe,,"Jun 23, 2017",2653.0
27627,Offer Withdrawn,,,,"Jul 05, 2021",2654.0
27628,Offered,,,"50Ξ ($111,069)","Jul 05, 2021",2654.0
27629,Sold,0x74be0a,0x19d566,"27.99Ξ ($65,738)","Jul 04, 2021",2654.0
27630,Offered,,,"27.99Ξ ($51,942)","Jun 25, 2021",2654.0
27631,Sold,0x3e17fa,0x74be0a,"21.20Ξ ($52,767)","Jun 10, 2021",2654.0
27632,Bid,0x74be0a,,"21.20Ξ ($52,201)","Jun 10, 2021",2654.0
27633,Offered,,,"23Ξ ($58,488)","Jun 10, 2021",2654.0
27634,Offered,,,"45Ξ ($112,062)","Jun 08, 2021",2654.0
27635,Bid Withdrawn,0x57a277,,"22.50Ξ ($59,122)","May 25, 2021",2654.0
27636,Bid,0x57a277,,"22.50Ξ ($56,886)","May 24, 2021",2654.0
27637,Bid,0xca37d8,,"20Ξ ($50,565)","May 24, 2021",2654.0
27638,Bid,0x57a277,,"18.50Ξ ($46,773)","May 24, 2021",2654.0
27639,Bid,0x023ef7,,"15.50Ξ ($39,188)","May 24, 2021",2654.0
27640,Bid Withdrawn,0x57a277,,"18.50Ξ ($39,584)","May 24, 2021",2654.0
27641,Bid,0x57a277,,"18.50Ξ ($39,491)","May 23, 2021",2654.0
27642,Offer Withdrawn,,,,"Feb 17, 2021",2654.0
27643,Offered,,,"150Ξ ($272,584)","Feb 14, 2021",2654.0
27644,Sold,Pranksy,0x3e17fa,"17.99Ξ ($32,894)","Feb 14, 2021",2654.0
27645,Offered,,,"17.99Ξ ($31,542)","Feb 09, 2021",2654.0
27646,Offered,,,"99.99Ξ ($166,102)","Feb 06, 2021",2654.0
27647,Sold,0x577ebc,Pranksy,"9Ξ ($14,475)","Feb 04, 2021",2654.0
27648,Offered,,Pranksy,"9Ξ ($14,475)","Feb 04, 2021",2654.0
27649,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",2654.0
27650,Bid Withdrawn,taradigi…,,0.20Ξ ($247),"Jan 18, 2021",2654.0
27651,Bid,taradigi…,,0.20Ξ ($241),"Jan 17, 2021",2654.0
27652,Claimed,,0xcbd482,,"Jun 23, 2017",2654.0
27653,Sold,Hemba,0x592a51,0.15Ξ ($189),"Jan 12, 2018",2655.0
27654,Offered,,,0.15Ξ ($120),"Dec 20, 2017",2655.0
27655,Offered,,,0.18Ξ ($146),"Dec 19, 2017",2655.0
27656,Offered,,,0.45Ξ ($91),"Jul 25, 2017",2655.0
27657,Claimed,,Hemba,,"Jun 23, 2017",2655.0
27658,Offer Withdrawn,,,,"Feb 20, 2021",2656.0
27659,Offered,,,"30Ξ ($58,428)","Feb 18, 2021",2656.0
27660,Bid Withdrawn,0x46b4fa,,"1.32Ξ ($1,999)","Feb 03, 2021",2656.0
27661,Bid,0x46b4fa,,"1.32Ξ ($1,744)","Feb 01, 2021",2656.0
27662,Claimed,,0x6611fe,,"Jun 23, 2017",2656.0
27663,Transfer,0x38f18a,0x940e66,,"Jul 08, 2021",2657.0
27664,Bid Withdrawn,0x78b58e,,"100Ξ ($242,335)","Apr 16, 2021",2657.0
27665,Bid,0x78b58e,,"100Ξ ($239,301)","Apr 16, 2021",2657.0
27666,Bid Withdrawn,0x78b58e,,"100Ξ ($213,819)","Apr 11, 2021",2657.0
27667,Bid,0x78b58e,,"100Ξ ($209,296)","Apr 10, 2021",2657.0
27668,Bid Withdrawn,0xe7dc8f,,"21Ξ ($38,567)","Mar 30, 2021",2657.0
27669,Bid,0xe7dc8f,,"21Ξ ($38,209)","Mar 30, 2021",2657.0
27670,Bid,0x97a1ca,,"20.50Ξ ($36,957)","Mar 30, 2021",2657.0
27671,Bid,0xe7dc8f,,"20Ξ ($36,056)","Mar 30, 2021",2657.0
27672,Bid Withdrawn,0x34e801,,"1Ξ ($1,175)","Jan 06, 2021",2657.0
27673,Bid,0x34e801,,1Ξ ($554),"Dec 12, 2020",2657.0
27674,Claimed,,0x38f18a,,"Jun 23, 2017",2657.0
27675,Bid Withdrawn,0x4d3445,,"1.18Ξ ($1,894)","Mar 25, 2021",2658.0
27676,Bid,0x4d3445,,"1.18Ξ ($1,852)","Mar 04, 2021",2658.0
27677,Transfer,0x577ebc,0xb88f61,,"Feb 13, 2021",2658.0
27678,Transfer,0xcbd482,0x577ebc,,"Jan 30, 2021",2658.0
27679,Bid,0x717403,,0.05Ξ ($13),"Jun 26, 2017",2658.0
27680,Claimed,,0xcbd482,,"Jun 23, 2017",2658.0
27681,Sold,Gmugr,0xb596b6,"10.44Ξ ($18,297)","Feb 17, 2021",2659.0
27682,Offered,,,"10.44Ξ ($18,650)","Feb 15, 2021",2659.0
27683,Sold,EliteCat…,Gmugr,"8.79Ξ ($15,491)","Feb 15, 2021",2659.0
27684,Bid Withdrawn,0x16d1e7,,"6.50Ξ ($11,753)","Feb 14, 2021",2659.0
27685,Bid,0x16d1e7,,"6.50Ξ ($11,826)","Feb 14, 2021",2659.0
27686,Bid Withdrawn,0x16d1e7,,"7Ξ ($12,736)","Feb 14, 2021",2659.0
27687,Bid,0x16d1e7,,"7Ξ ($12,883)","Feb 14, 2021",2659.0
27688,Offered,,,"8.79Ξ ($16,147)","Feb 14, 2021",2659.0
27689,Transfer,GoWest23,EliteCat…,,"Oct 04, 2020",2659.0
27690,(Unwrap),WrappedC…,GoWest23,,"Oct 04, 2020",2659.0
27691,(Wrap),0xa18fd5,WrappedC…,,"Sep 15, 2020",2659.0
27692,Transfer,GoWest23,0xa18fd5,,"Sep 15, 2020",2659.0
27693,Sold,0x7f6ca7,GoWest23,0.45Ξ ($78),"May 06, 2019",2659.0
27694,Offered,,,0.45Ξ ($333),"Dec 29, 2017",2659.0
27695,Sold,Hemba,0x7f6ca7,0.10Ξ ($81),"Dec 19, 2017",2659.0
27696,Offered,,,0.10Ξ ($81),"Dec 19, 2017",2659.0
27697,Claimed,,Hemba,,"Jun 23, 2017",2659.0
27698,(Unwrap),WrappedC…,CryptoEa…,,"May 04, 2021",2660.0
27699,Sold,PM_disco…,CryptoEa…,"4.90Ξ ($1,684)","Sep 22, 2020",2660.0
27700,Sold,0xad4f9e,PM_disco…,"3.75Ξ ($1,285)","Sep 22, 2020",2660.0
27701,Sold,PM_disco…,0xad4f9e,"2.95Ξ ($1,053)","Sep 13, 2020",2660.0
27702,(Wrap),0xd1ac95,WrappedC…,,"Sep 12, 2020",2660.0
27703,Transfer,PM_disco…,0xd1ac95,,"Sep 12, 2020",2660.0
27704,Offered,,,"3.75Ξ ($1,111)","Jul 25, 2020",2660.0
27705,Sold,Pranksy,PM_disco…,1.50Ξ ($345),"Jul 02, 2020",2660.0
27706,Bid,PM_disco…,,1.50Ξ ($345),"Jul 02, 2020",2660.0
27707,Offered,,,1.99Ξ ($452),"Jul 02, 2020",2660.0
27708,Offered,,,2.49Ξ ($606),"Jun 22, 2020",2660.0
27709,Offered,,,3.49Ξ ($768),"May 29, 2020",2660.0
27710,Offered,,,3.99Ξ ($824),"May 27, 2020",2660.0
27711,Offered,,,3.59Ξ ($767),"May 20, 2020",2660.0
27712,Offered,,,1.89Ξ ($361),"May 10, 2020",2660.0
27713,Offered,,,1.99Ξ ($377),"Apr 23, 2020",2660.0
27714,Offered,,,2.49Ξ ($356),"Jan 07, 2020",2660.0
27715,Sold,0xc00c2b,Pranksy,1.15Ξ ($165),"Jan 07, 2020",2660.0
27716,Bid Withdrawn,Pranksy,,0.80Ξ ($111),"Jan 06, 2020",2660.0
27717,Bid,Pranksy,,0.80Ξ ($111),"Jan 05, 2020",2660.0
27718,Offered,,,1.15Ξ ($211),"Nov 02, 2019",2660.0
27719,Offered,,,1.30Ξ ($213),"May 04, 2019",2660.0
27720,Offered,,,0.88Ξ ($126),"Mar 30, 2019",2660.0
27721,Offered,,,2Ξ ($598),"Aug 14, 2017",2660.0
27722,Offered,,,"9.99Ξ ($2,161)","Jul 21, 2017",2660.0
27723,Offered,,,"100Ξ ($21,633)","Jul 21, 2017",2660.0
27724,Claimed,,0xc00c2b,,"Jun 23, 2017",2660.0
27725,Offered,,,"29Ξ ($55,594)","Jul 18, 2021",2661.0
27726,Offered,,,"29.50Ξ ($55,719)","Jul 17, 2021",2661.0
27727,Sold,0x110929,0xf7f7d7,"26Ξ ($82,404)","May 03, 2021",2661.0
27728,Offered,,,"26Ξ ($71,892)","Apr 30, 2021",2661.0
27729,Transfer,quantbik…,0x110929,,"Apr 28, 2021",2661.0
27730,Bid Withdrawn,0xa2dcba,,"22Ξ ($58,210)","Apr 27, 2021",2661.0
27731,Bid,0xa2dcba,,"22Ξ ($56,547)","Apr 27, 2021",2661.0
27732,Bid Withdrawn,0x4e2a48,,"21.12Ξ ($48,256)","Apr 24, 2021",2661.0
27733,Bid,0x4e2a48,,"21.12Ξ ($48,256)","Apr 24, 2021",2661.0
27734,Offered,,,"23.32Ξ ($53,088)","Apr 24, 2021",2661.0
27735,(Unwrap),WrappedC…,quantbik…,,"Mar 28, 2021",2661.0
27736,Sold,0x3ba9cd,0x568cf5,"5.25Ξ ($1,920)","Oct 01, 2020",2661.0
27737,Sold,ross_VRO…,0x3ba9cd,"3.35Ξ ($1,164)","Sep 24, 2020",2661.0
27738,(Wrap),0x638cd3,WrappedC…,,"Sep 24, 2020",2661.0
27739,Transfer,ross_VRO…,0x638cd3,,"Sep 24, 2020",2661.0
27740,Offered,,,"4.99Ξ ($1,914)","Sep 13, 2020",2661.0
27741,Offer Withdrawn,,,,"Jun 12, 2020",2661.0
27742,Offered,,,1.78Ξ ($394),"May 29, 2020",2661.0
27743,Offer Withdrawn,,,,"May 09, 2020",2661.0
27744,Offered,,,0.90Ξ ($205),"Feb 09, 2020",2661.0
27745,Offered,,,0.70Ξ ($151),"Feb 06, 2020",2661.0
27746,Sold,MrTpunks…,ross_VRO…,0.60Ξ ($129),"Feb 06, 2020",2661.0
27747,Offered,,,0.60Ξ ($129),"Feb 06, 2020",2661.0
27748,Offer Withdrawn,,,,"Jan 13, 2020",2661.0
27749,Offered,,,0.95Ξ ($137),"Jan 12, 2020",2661.0
27750,Sold,0x6611fe,MrTpunks…,0.71Ξ ($96),"Jan 05, 2020",2661.0
27751,Offered,,,0.71Ξ ($146),"Jul 10, 2017",2661.0
27752,Claimed,,0x6611fe,,"Jun 23, 2017",2661.0
27753,Bid Withdrawn,0xa7eba7,,"5Ξ ($8,571)","Feb 08, 2021",2662.0
27754,Bid,0xa7eba7,,"5Ξ ($6,653)","Feb 01, 2021",2662.0
27755,Offer Withdrawn,,,,"Sep 15, 2020",2662.0
27756,Offered,,,"5Ξ ($1,727)","Jul 31, 2020",2662.0
27757,Offered,,,3Ξ ($610),"May 26, 2020",2662.0
27758,Bid Withdrawn,MBK,,1Ξ ($211),"May 21, 2020",2662.0
27759,Bid,MBK,,1Ξ ($210),"May 20, 2020",2662.0
27760,Offered,,,2.50Ξ ($426),"Jan 17, 2020",2662.0
27761,Bid Withdrawn,0x0a4eaf…,,0.25Ξ ($41),"Jan 16, 2020",2662.0
27762,Offered,,,1.95Ξ ($319),"May 04, 2019",2662.0
27763,Offered,,,2.50Ξ ($416),"Apr 06, 2019",2662.0
27764,Offered,,,1.50Ξ ($208),"Mar 28, 2019",2662.0
27765,Offered,,,1.30Ξ ($174),"Mar 02, 2019",2662.0
27766,Bid,0x0a4eaf…,,0.25Ξ ($35),"Dec 30, 2018",2662.0
27767,Offered,,,2Ξ ($598),"Aug 14, 2017",2662.0
27768,Bid Withdrawn,juggerna…,,0.20Ξ ($59),"Aug 13, 2017",2662.0
27769,Bid,juggerna…,,0.20Ξ ($59),"Aug 13, 2017",2662.0
27770,Bid Withdrawn,juggerna…,,0.25Ξ ($77),"Aug 11, 2017",2662.0
27771,Bid,juggerna…,,0.25Ξ ($77),"Aug 11, 2017",2662.0
27772,Offered,,,0.96Ξ ($183),"Jul 11, 2017",2662.0
27773,Offered,,,0.72Ξ ($203),"Jun 30, 2017",2662.0
27774,Claimed,,0xc00c2b,,"Jun 23, 2017",2662.0
27775,Sold,Hemba,0x1fafa6,0.65Ξ ($165),"Feb 16, 2020",2663.0
27776,Offered,,,0.65Ξ ($165),"Feb 12, 2020",2663.0
27777,Claimed,,Hemba,,"Jun 23, 2017",2663.0
27778,Transfer,0x4bc2cc,0x407f0c,,"Mar 02, 2021",2664.0
27779,Bid Withdrawn,tonyherr…,,"5.50Ξ ($7,318)","Feb 01, 2021",2664.0
27780,Bid,tonyherr…,,"5.50Ξ ($7,381)","Jan 29, 2021",2664.0
27781,Bid,0x3ad890,,"5Ξ ($6,142)","Jan 08, 2021",2664.0
27782,Claimed,,0x4bc2cc,,"Jun 23, 2017",2664.0
27783,Sold,0xc272ed,notmycir…,"30Ξ ($61,916)","Apr 08, 2021",2665.0
27784,Offered,,,"30Ξ ($61,916)","Apr 08, 2021",2665.0
27785,Claimed,,0xc272ed,,"Jun 23, 2017",2665.0
27786,Sold,CPyrc,0x3ee505,2.66Ξ ($920),"Sep 24, 2020",2666.0
27787,Offered,,,2.66Ξ ($874),"Sep 24, 2020",2666.0
27788,(Unwrap),WrappedC…,CPyrc,,"Sep 24, 2020",2666.0
27789,Sold,Pranksy,CPyrc,2.19Ξ ($717),"Sep 24, 2020",2666.0
27790,Sold,Hemba,Pranksy,1.80Ξ ($613),"Sep 22, 2020",2666.0
27791,(Wrap),0x193847,WrappedC…,,"Sep 15, 2020",2666.0
27792,Transfer,Hemba,0x193847,,"Sep 15, 2020",2666.0
27793,Offer Withdrawn,,,,"Sep 07, 2020",2666.0
27794,Offered,,,0.88Ξ ($344),"Aug 28, 2020",2666.0
27795,Offer Withdrawn,,,,"Jan 04, 2020",2666.0
27796,Offered,,,0.50Ξ ($88),"Apr 07, 2019",2666.0
27797,Offered,,,0.41Ξ ($78),"Jul 11, 2017",2666.0
27798,Claimed,,Hemba,,"Jun 23, 2017",2666.0
27799,Sold,Hemba,Catdog,0.66Ξ ($131),"May 14, 2020",2667.0
27800,Offered,,,0.66Ξ ($168),"Feb 12, 2020",2667.0
27801,Offer Withdrawn,,,,"Jan 04, 2020",2667.0
27802,Offered,,,0.77Ξ ($147),"Jul 11, 2017",2667.0
27803,Claimed,,Hemba,,"Jun 23, 2017",2667.0
27804,Transfer,0x708c0f,0xdf9c93,,"Jan 30, 2021",2668.0
27805,Sold,0x033ee7,0x708c0f,"4.97Ξ ($6,729)","Jan 30, 2021",2668.0
27806,Offered,,,"4.97Ξ ($6,687)","Jan 28, 2021",2668.0
27807,Sold,zonted,0x033ee7,"3.33Ξ ($1,152)","Sep 24, 2020",2668.0
27808,Offered,,,"3.33Ξ ($1,194)","Sep 14, 2020",2668.0
27809,Sold,Hemba,zonted,1.40Ξ ($518),"Sep 12, 2020",2668.0
27810,Offered,,,1.40Ξ ($524),"Sep 11, 2020",2668.0
27811,Offer Withdrawn,,,,"Jan 04, 2020",2668.0
27812,Offered,,,0.70Ξ ($133),"Jul 11, 2017",2668.0
27813,Claimed,,Hemba,,"Jun 23, 2017",2668.0
27814,Sold,0x1919db,0xae4d83,"13.99Ξ ($35,264)","Jun 10, 2021",2669.0
27815,Bid Withdrawn,0x4f63c2,,"13.50Ξ ($34,511)","Jun 09, 2021",2669.0
27816,Bid,0x4f63c2,,"13.50Ξ ($33,916)","Jun 09, 2021",2669.0
27817,Bid,0x3cc2bd,,"10.50Ξ ($25,563)","Jun 09, 2021",2669.0
27818,Bid Withdrawn,0xff6d91,,"13.50Ξ ($36,129)","Jun 06, 2021",2669.0
27819,Bid,0xff6d91,,"13.50Ξ ($35,614)","Jun 06, 2021",2669.0
27820,Offered,,,"13.99Ξ ($37,180)","Jun 04, 2021",2669.0
27821,Sold,anonymou…,0x1919db,"13.25Ξ ($34,520)","Jun 04, 2021",2669.0
27822,Bid,0x1919db,,"13.25Ξ ($34,520)","Jun 04, 2021",2669.0
27823,Bid,0xac7821,,"13.25Ξ ($34,765)","Jun 04, 2021",2669.0
27824,Offered,,,"13.75Ξ ($36,077)","Jun 04, 2021",2669.0
27825,Bid Withdrawn,0x194171,,"13Ξ ($35,815)","Jun 04, 2021",2669.0
27826,Bid,0x194171,,"13Ξ ($35,588)","Jun 04, 2021",2669.0
27827,Offered,,,"14.88Ξ ($40,734)","Jun 04, 2021",2669.0
27828,Bid Withdrawn,0x4affe1,,"14Ξ ($39,081)","Jun 03, 2021",2669.0
27829,Offered,,,"15.25Ξ ($42,386)","Jun 03, 2021",2669.0
27830,Bid,0x4affe1,,"14Ξ ($39,774)","Jun 03, 2021",2669.0
27831,Offered,,,"15.88Ξ ($42,783)","Jun 03, 2021",2669.0
27832,Offered,,,"16.75Ξ ($45,139)","Jun 02, 2021",2669.0
27833,Offered,,,"17.75Ξ ($49,013)","Jun 02, 2021",2669.0
27834,Offered,,,"18.99Ξ ($80,895)","May 12, 2021",2669.0
27835,Offered,,,"19.95Ξ ($82,360)","May 10, 2021",2669.0
27836,Sold,whiterab…,anonymou…,"18.90Ξ ($73,142)","May 09, 2021",2669.0
27837,Offered,,,"18.90Ξ ($72,780)","May 09, 2021",2669.0
27838,Bid Withdrawn,0xbff231,,"19Ξ ($67,102)","May 07, 2021",2669.0
27839,Bid,0xbff231,,"19Ξ ($67,102)","May 07, 2021",2669.0
27840,Offered,,,"20Ξ ($68,802)","May 05, 2021",2669.0
27841,Offer Withdrawn,,,,"May 03, 2021",2669.0
27842,Bid Withdrawn,wookie.e…,,"19.50Ξ ($57,990)","May 02, 2021",2669.0
27843,Bid,wookie.e…,,"19.50Ξ ($57,544)","May 02, 2021",2669.0
27844,Bid Withdrawn,owlman.e…,,"18Ξ ($50,096)","Apr 29, 2021",2669.0
27845,Bid,owlman.e…,,"18Ξ ($48,929)","Apr 29, 2021",2669.0
27846,Offered,,,"21.60Ξ ($58,715)","Apr 29, 2021",2669.0
27847,Offer Withdrawn,,,,"Apr 29, 2021",2669.0
27848,Bid Withdrawn,0xd4442b,,"21Ξ ($56,849)","Apr 28, 2021",2669.0
27849,Bid,0xd4442b,,"21Ξ ($55,290)","Apr 27, 2021",2669.0
27850,Bid,0xdbc08e,,"2Ξ ($5,239)","Apr 27, 2021",2669.0
27851,Offered,,,"22Ξ ($55,308)","Apr 27, 2021",2669.0
27852,Bid Withdrawn,heygaret…,,"15Ξ ($24,284)","Mar 03, 2021",2669.0
27853,Bid,heygaret…,,"15Ξ ($24,284)","Mar 03, 2021",2669.0
27854,Sold,Hemba,whiterab…,1.40Ξ ($519),"Sep 12, 2020",2669.0
27855,Offered,,,1.40Ξ ($309),"May 29, 2020",2669.0
27856,Offer Withdrawn,,,,"Jan 04, 2020",2669.0
27857,Offered,,,0.70Ξ ($133),"Jul 11, 2017",2669.0
27858,Claimed,,Hemba,,"Jun 23, 2017",2669.0
27859,Transfer,haumord,0x8fe7b1,,"Apr 27, 2021",2670.0
27860,Sold,0x27c79a,haumord,0.74Ξ ($201),"Feb 23, 2020",2670.0
27861,Offered,,,0.74Ξ ($122),"Jan 16, 2020",2670.0
27862,Sold,Fearless…,0x27c79a,0.50Ξ ($72),"Jan 07, 2020",2670.0
27863,Offered,,,0.50Ξ ($66),"Dec 16, 2019",2670.0
27864,Sold,Hemba,Fearless…,0.30Ξ ($35),"Jan 24, 2019",2670.0
27865,Offered,,,0.30Ξ ($47),"Jan 05, 2019",2670.0
27866,Claimed,,Hemba,,"Jun 23, 2017",2670.0
27867,Transfer,0x98c488,0x4bbb41,,"Feb 15, 2021",2671.0
27868,Sold,0x27c79a,0x98c488,0.73Ξ ($142),"May 16, 2020",2671.0
27869,Offered,,,0.73Ξ ($120),"Jan 16, 2020",2671.0
27870,Sold,Fearless…,0x27c79a,0.50Ξ ($72),"Jan 07, 2020",2671.0
27871,Offered,,,0.50Ξ ($66),"Dec 16, 2019",2671.0
27872,Sold,Hemba,Fearless…,0.30Ξ ($35),"Jan 24, 2019",2671.0
27873,Offered,,,0.30Ξ ($47),"Jan 05, 2019",2671.0
27874,Claimed,,Hemba,,"Jun 23, 2017",2671.0
27875,Sold,0xed7adf,0x378151,"24Ξ ($45,588)","Jul 16, 2021",2672.0
27876,Bid Withdrawn,0x378151,,"22Ξ ($41,789)","Jul 16, 2021",2672.0
27877,Bid,0x378151,,"22Ξ ($41,996)","Jul 16, 2021",2672.0
27878,Offered,,,"24Ξ ($65,193)","Jun 05, 2021",2672.0
27879,Sold,anonymou…,0xed7adf,"16.85Ξ ($47,666)","Jun 03, 2021",2672.0
27880,Bid,0xed7adf,,"16.85Ξ ($48,105)","Jun 03, 2021",2672.0
27881,Offered,,,"17.75Ξ ($47,914)","Jun 03, 2021",2672.0
27882,Offered,,,"18.25Ξ ($49,182)","Jun 02, 2021",2672.0
27883,Offered,,,"19.69Ξ ($50,728)","Jun 01, 2021",2672.0
27884,Offer Withdrawn,,,,"May 27, 2021",2672.0
27885,Offered,,,"19.75Ξ ($85,121)","May 12, 2021",2672.0
27886,Offered,,,"20.99Ξ ($87,535)","May 10, 2021",2672.0
27887,Offered,,,"21.99Ξ ($90,782)","May 10, 2021",2672.0
27888,Offered,,,"22.88Ξ ($89,707)","May 09, 2021",2672.0
27889,Sold,whiterab…,anonymou…,"19.50Ξ ($75,464)","May 09, 2021",2672.0
27890,Offered,,,"19.50Ξ ($75,781)","May 09, 2021",2672.0
27891,Offered,,,"23.50Ξ ($82,614)","May 07, 2021",2672.0
27892,Sold,Pixls,whiterab…,"2.90Ξ ($1,086)","Sep 15, 2020",2672.0
27893,Offered,,,"2.90Ξ ($1,065)","Sep 13, 2020",2672.0
27894,Offered,,,"10Ξ ($2,001)","May 26, 2020",2672.0
27895,Offered,,,3Ξ ($431),"Jan 11, 2020",2672.0
27896,Offered,,,1.60Ξ ($430),"Jun 16, 2019",2672.0
27897,Offered,,,0.75Ξ ($130),"Apr 20, 2019",2672.0
27898,Offered,,,0.62Ξ ($102),"Apr 13, 2019",2672.0
27899,Offered,,,0.45Ξ ($64),"Mar 16, 2019",2672.0
27900,Sold,Hemba,Pixls,0.35Ξ ($50),"Mar 16, 2019",2672.0
27901,Offered,,,0.35Ξ ($41),"Jan 24, 2019",2672.0
27902,Offer Withdrawn,,,,"Jan 20, 2019",2672.0
27903,Offered,,,0.30Ξ ($47),"Jan 05, 2019",2672.0
27904,Claimed,,Hemba,,"Jun 23, 2017",2672.0
27905,Sold,Pranksy,0xbfcfdd,"27.50Ξ ($41,527)","Feb 26, 2021",2673.0
27906,Offered,,,"27.50Ξ ($40,025)","Feb 26, 2021",2673.0
27907,Sold,0x63e639,Pranksy,"21.95Ξ ($31,947)","Feb 26, 2021",2673.0
27908,Offered,,,"21.95Ξ ($31,947)","Feb 26, 2021",2673.0
27909,Bid Withdrawn,renaissa…,,"19Ξ ($27,653)","Feb 26, 2021",2673.0
27910,Bid,renaissa…,,"19Ξ ($26,808)","Feb 26, 2021",2673.0
27911,Offered,,,"23Ξ ($32,452)","Feb 26, 2021",2673.0
27912,Offered,,,"24Ξ ($35,199)","Feb 26, 2021",2673.0
27913,Bid Withdrawn,0x8234c5,,"23.50Ξ ($35,425)","Feb 26, 2021",2673.0
27914,Bid,0x8234c5,,"23.50Ξ ($35,425)","Feb 26, 2021",2673.0
27915,Offered,,,"24.50Ξ ($35,922)","Feb 26, 2021",2673.0
27916,Bid Withdrawn,0xcdc424,,"23Ξ ($36,204)","Feb 25, 2021",2673.0
27917,Bid,0xcdc424,,"23Ξ ($36,492)","Feb 25, 2021",2673.0
27918,Bid,point-gr…,,"19.50Ξ ($30,939)","Feb 25, 2021",2673.0
27919,Offered,,,"26.50Ξ ($42,033)","Feb 25, 2021",2673.0
27920,Offered,,,"29.99Ξ ($47,951)","Feb 25, 2021",2673.0
27921,Offer Withdrawn,,,,"Feb 22, 2021",2673.0
27922,Offered,,,"27.45Ξ ($47,066)","Feb 22, 2021",2673.0
27923,Sold,0x15396c,0x63e639,"16Ξ ($32,462)","Feb 20, 2021",2673.0
27924,Offered,,,"16Ξ ($30,741)","Feb 19, 2021",2673.0
27925,Offer Withdrawn,,,,"Feb 19, 2021",2673.0
27926,Offered,,,"22Ξ ($41,562)","Feb 18, 2021",2673.0
27927,Offer Withdrawn,,,,"Feb 06, 2021",2673.0
27928,Offered,,,"10Ξ ($13,332)","Feb 01, 2021",2673.0
27929,Offered,,,"9Ξ ($11,999)","Feb 01, 2021",2673.0
27930,Sold,kingskin…,0x15396c,"6Ξ ($8,000)","Feb 01, 2021",2673.0
27931,Bid,0x15396c,,"6Ξ ($7,967)","Feb 01, 2021",2673.0
27932,Offered,,,"7Ξ ($7,958)","Jan 15, 2021",2673.0
27933,Sold,Michel_M…,kingskin…,2.10Ξ ($775),"Sep 11, 2020",2673.0
27934,Offered,,,2.10Ξ ($775),"Sep 11, 2020",2673.0
27935,Offer Withdrawn,,,,"Sep 09, 2020",2673.0
27936,Offered,,,1.20Ξ ($406),"Sep 08, 2020",2673.0
27937,Offer Withdrawn,,,,"Sep 04, 2020",2673.0
27938,Offered,,,1.20Ξ ($457),"Aug 27, 2020",2673.0
27939,Offer Withdrawn,,,,"Aug 14, 2020",2673.0
27940,Offered,,,2Ξ ($491),"Jul 22, 2020",2673.0
27941,Sold,Pranksy,Michel_M…,1.30Ξ ($316),"Jun 23, 2020",2673.0
27942,Bid,Michel_M…,,1.30Ξ ($317),"Jun 22, 2020",2673.0
27943,Offered,,,1.39Ξ ($339),"Jun 22, 2020",2673.0
27944,Bid Withdrawn,Michel_M…,,1.20Ξ ($280),"Jun 11, 2020",2673.0
27945,Bid,Michel_M…,,1.20Ξ ($294),"Jun 09, 2020",2673.0
27946,Offered,,,1.79Ξ ($365),"May 26, 2020",2673.0
27947,Offered,,,1.49Ξ ($298),"May 15, 2020",2673.0
27948,Offered,,,1Ξ ($216),"Aug 11, 2019",2673.0
27949,Sold,0x00d7c9,Pranksy,0.40Ξ ($109),"Jun 20, 2019",2673.0
27950,Bid,Pranksy,,0.40Ξ ($109),"Jun 20, 2019",2673.0
27951,Claimed,,0x00d7c9,,"Jun 23, 2017",2673.0
27952,Sold,kriptoga…,0x0e6167,"17Ξ ($33,539)","Feb 21, 2021",2674.0
