id,type_id,rarity,skin_id,total_traits,total_hidden_traits
668,5,9059,7,2,0
669,5,8372,7,2,0
670,5,9258,7,2,0
671,5,8069,5,1,0
672,5,2243,5,3,1
673,5,1718,6,2,0
674,4,9013,7,2,0
675,4,9675,4,2,0
676,5,9110,5,2,0
677,4,4373,5,3,0
678,5,7844,6,3,0
679,4,7595,5,2,0
680,4,2923,7,3,0
681,4,5051,5,2,0
682,4,2168,7,1,0
683,5,2510,7,3,0
684,5,7946,4,3,1
685,5,705,7,4,1
686,4,9171,7,2,0
687,4,3299,7,5,0
688,4,7609,6,2,0
689,5,2556,5,1,0
690,5,6454,5,4,0
691,4,9620,6,3,0
692,5,9657,7,3,0
693,4,7174,7,2,0
694,4,8019,5,3,0
695,4,9735,6,2,0
696,5,3614,7,2,0
697,5,5387,6,3,0
698,5,9717,5,2,0
699,4,4974,6,2,0
700,4,8089,5,1,0
701,4,9068,5,2,0
702,4,7238,6,2,0
703,4,7391,6,2,0
704,4,7817,6,2,0
705,4,4215,7,3,0
706,4,8769,7,2,0
707,5,217,7,1,0
708,5,991,7,3,0
709,5,2845,5,2,0
710,4,7508,5,3,0
711,4,6625,7,4,0
712,4,5508,4,3,0
713,5,2846,6,2,0
714,4,7631,5,2,0
715,5,2018,7,4,1
716,4,7025,6,3,0
717,4,4273,7,4,0
718,5,5796,6,3,1
719,4,934,7,2,0
720,5,744,7,3,1
721,4,4783,4,2,0
722,5,2347,5,2,0
723,4,6826,5,3,0
724,4,9555,7,2,0
725,5,1964,6,2,0
726,4,6958,4,2,0
727,4,5881,7,4,0
728,5,3089,5,2,0
729,5,8223,6,3,0
730,5,2738,4,2,0
731,4,9895,6,3,0
732,4,7090,5,2,0
733,5,3657,6,1,0
734,5,9763,6,3,0
735,4,9240,7,2,0
736,4,1466,7,4,0
737,5,8912,7,4,0
738,5,8447,5,3,0
739,4,4543,7,1,0
740,5,8116,7,1,0
741,4,9149,7,2,0
742,4,5,5,0,0
743,4,8115,6,1,0
744,4,6101,5,3,0
745,5,206,6,2,0
746,4,6649,7,3,0
747,5,3581,7,2,0
748,4,8161,7,2,0
749,4,9373,5,2,0
750,5,3008,5,2,0
751,4,6233,5,3,0
752,4,9356,7,3,0
753,4,8101,7,1,0
754,5,9574,4,2,0
755,4,8979,6,4,0
756,5,24,4,6,1
757,5,5630,4,2,0
758,5,9706,5,3,0
759,5,4556,5,3,0
760,5,2987,5,2,0
761,5,9430,4,2,0
762,5,2681,5,2,0
763,4,3215,4,1,0
764,4,8079,7,1,0
765,4,8664,7,2,0
766,4,4901,7,3,0
767,5,8750,7,3,0
768,5,3714,6,3,1
769,4,4690,6,4,0
770,4,2868,7,2,0
771,4,6399,5,3,0
772,4,8006,7,3,0
773,4,4875,6,2,0
774,5,2734,4,3,0
775,4,7511,7,3,0
776,4,7757,7,2,0
777,5,3726,5,2,0
778,4,924,7,4,0
779,5,2477,4,3,0
780,4,8147,4,2,0
781,5,1667,5,2,0
782,4,3918,6,4,0
783,5,2249,6,2,0
784,4,9207,6,2,0
785,4,2861,6,4,0
786,4,9469,7,2,0
787,4,2094,6,3,0
788,4,4745,7,3,0
789,4,8378,6,4,0
790,5,8028,6,1,0
791,5,8194,6,2,0
792,4,8268,5,4,0
793,4,8602,6,2,0
794,4,3240,7,2,0
795,4,4151,7,2,0
796,5,5644,7,3,0
797,5,9878,6,3,0
798,4,9992,7,2,0
799,4,909,5,1,0
800,4,3900,6,2,0
801,4,8729,6,2,0
802,4,7440,6,2,0
803,4,4951,4,2,0
804,4,9678,5,2,0
805,4,5942,5,2,0
806,4,9147,6,2,0
807,4,4179,7,2,0
808,4,5516,5,3,0
809,4,7789,6,3,0
810,4,7596,5,2,0
811,4,4824,6,3,0
812,4,6102,6,3,0
813,4,8373,7,2,0
814,5,1269,6,1,0
815,4,6426,7,3,0
816,5,2413,6,2,0
817,4,8215,4,2,0
818,4,7732,5,2,0
819,5,1603,7,3,0
820,4,6355,6,4,0
821,4,9325,7,2,0
822,4,4063,7,2,0
823,5,2072,5,2,0
824,4,4423,6,2,0
825,4,92,5,2,0
826,5,1082,6,4,1
827,5,9686,4,2,0
828,4,824,6,2,0
829,5,9857,6,2,0
830,5,9305,6,2,0
831,5,1727,6,3,0
832,5,2374,4,2,0
833,5,2410,5,2,0
834,4,8737,5,2,0
835,5,1738,7,2,0
836,5,8581,5,3,0
837,4,5106,7,2,0
838,5,2350,6,2,0
839,5,161,6,1,0
840,5,5400,4,3,0
841,4,6664,5,3,0
842,4,7319,7,3,0
843,4,3119,7,3,0
844,5,176,6,4,1
845,5,5438,5,2,0
846,5,8335,6,2,0
847,4,8248,6,3,0
848,4,4177,6,2,0
849,4,6702,6,3,0
850,4,8055,7,1,0
851,4,9908,6,2,0
852,4,828,7,1,0
853,4,7212,6,3,0
854,4,6647,5,3,0
855,4,9733,5,2,0
856,5,9750,4,2,0
857,4,4752,6,2,0
858,5,3661,6,3,0
859,5,1608,7,2,0
860,4,6158,5,3,0
861,4,1412,6,2,0
862,5,2776,5,1,0
863,4,1344,5,4,0
864,5,4519,4,1,0
865,4,9939,4,2,0
866,5,5390,7,4,0
867,5,2781,4,3,0
868,5,1146,4,4,0
869,5,2956,6,2,0
870,4,5072,5,3,0
871,5,1138,6,1,0
872,4,9523,7,2,0
873,5,1560,7,3,0
874,4,6658,6,3,0
875,5,9515,5,4,1
876,5,1300,7,3,1
877,5,3719,5,2,0
878,4,4850,6,3,1
879,4,4695,7,2,0
880,4,3134,7,4,1
881,4,9875,7,2,0
882,4,7441,6,2,0
883,4,9063,6,2,0
884,5,167,7,3,1
885,5,9049,6,3,0
886,4,2887,5,3,0
887,5,3000,7,2,0
888,4,8985,6,2,0
889,5,2587,7,2,0
890,4,8980,5,3,0
891,4,7407,7,3,0
892,4,840,5,3,0
893,4,4786,7,2,0
894,5,9730,4,2,0
895,5,9464,4,2,1
896,4,6302,6,3,0
897,4,3425,6,2,0
898,4,7645,6,3,0
899,5,1962,5,2,0
