,id,amount_ethereum,amount_dollars,transaction_date
366,9229,1.50Ξ,($248),"Jan 15, 2020"
367,9229,0.50Ξ,($123),"Jun 11, 2019"
368,9233,17.98Ξ,"($30,354)","Mar 28, 2021"
369,9233,15Ξ,"($29,427)","Feb 21, 2021"
370,9233,0.68Ξ,($127),"May 10, 2020"
371,9233,0.55Ξ,($78),"Jan 08, 2020"
372,9234,0.28Ξ,($45),"Nov 21, 2019"
373,9234,0.25Ξ,($47),"Sep 15, 2019"
374,9235,0.79Ξ,($99),"Nov 22, 2018"
375,9235,0.35Ξ,($97),"Jul 03, 2017"
376,9239,24Ξ,"($42,858)","Jun 26, 2021"
377,9239,24Ξ,"($41,768)","Mar 08, 2021"
378,9239,8.50Ξ,"($14,571)","Feb 08, 2021"
379,9240,69.99Ξ,"($124,336)","Mar 16, 2021"
380,9241,0.18Ξ,($54),"Jun 29, 2017"
381,9243,14.55Ξ,"($28,742)","Jun 28, 2021"
382,9243,2.45Ξ,($855),"Sep 25, 2020"
383,9243,2.16Ξ,($747),"Sep 24, 2020"
384,9243,2Ξ,($642),"Sep 23, 2020"
385,9243,1.45Ξ,($545),"Sep 14, 2020"
386,9245,42.50Ξ,"($67,210)","Mar 25, 2021"
387,9245,38.99Ξ,"($70,285)","Feb 22, 2021"
388,9245,5Ξ,"($1,922)","Oct 13, 2020"
389,9245,1.49Ξ,($312),"May 24, 2020"
390,9245,0.55Ξ,($79),"Jan 11, 2020"
391,9245,0.25Ξ,($45),"Sep 08, 2019"
392,9247,19.50Ξ,"($35,573)","Mar 09, 2021"
393,9247,19Ξ,"($33,120)","Mar 08, 2021"
394,9248,29.97Ξ,"($54,654)","Mar 19, 2021"
395,9248,27Ξ,"($48,221)","Mar 15, 2021"
396,9249,29Ξ,"($43,821)","Mar 05, 2021"
397,9249,23Ξ,"($32,913)","Mar 01, 2021"
398,9249,14.99Ξ,"($27,666)","Feb 17, 2021"
399,9249,6Ξ,"($10,309)","Feb 08, 2021"
400,9250,5.99Ξ,"($2,143)","Sep 29, 2020"
401,9250,5.77Ξ,"($2,041)","Sep 29, 2020"
402,9250,0.48Ξ,($83),"May 06, 2019"
403,9250,0.23Ξ,($21),"Dec 08, 2018"
404,9251,0.10Ξ,($29),"Oct 28, 2017"
405,9252,32Ξ,"($61,469)","Apr 01, 2021"
406,9252,26Ξ,"($47,208)","Mar 19, 2021"
407,9252,9.80Ξ,"($13,534)","Jan 31, 2021"
408,9252,0.94Ξ,($190),"May 17, 2020"
409,9252,0.30Ξ,($56),"Nov 04, 2019"
410,9252,0.25Ξ,($58),"Sep 29, 2018"
411,9253,1.50Ξ,($319),"May 02, 2020"
412,9253,1.35Ξ,($192),"Jan 06, 2020"
413,9253,0.70Ξ,($172),"Jun 11, 2019"
414,9254,22Ξ,"($36,711)","Mar 28, 2021"
415,9255,14.49Ξ,"($53,397)","May 13, 2021"
416,9258,50Ξ,"($96,248)","Feb 21, 2021"
417,9258,28Ξ,"($51,532)","Feb 14, 2021"
418,9259,0.70Ξ,($141),"May 17, 2020"
419,9260,24.20Ξ,"($59,776)","Apr 15, 2021"
420,9260,21Ξ,"($44,230)","Apr 12, 2021"
421,9260,2.95Ξ,"($1,043)","Sep 26, 2020"
422,9260,2.89Ξ,($994),"Sep 25, 2020"
423,9260,2.30Ξ,($796),"Sep 24, 2020"
424,9261,23.99Ξ,"($55,834)","Apr 25, 2021"
425,9261,18.47Ξ,"($38,178)","Apr 08, 2021"
426,9261,17Ξ,"($33,877)","Apr 07, 2021"
427,9263,8.39Ξ,"($14,796)","Feb 15, 2021"
428,9263,0.35Ξ,($61),"May 06, 2019"
429,9265,2.25Ξ,($587),"Jul 01, 2017"
430,9266,4.51Ξ,"($5,790)","Jan 27, 2021"
431,9266,0.10Ξ,($35),"Aug 28, 2017"
